,Count,Dist1,Dist2,Dist3,Dist4,Dist5,Sim1,Sim2,Sim3,Sim4,Sim5,Word
150,1,0.90198123455,0.893783688545,0.887400746346,0.886808991432,0.886657714844,shown,livestock,retained,mulicolored,spheeres,mutilated
151,1,0.952826142311,0.951006114483,0.949903666973,0.94987154007,0.947750926018,hensley,scarborough,hacia,sonoma,reveals,winterville
152,1,0.909037649632,0.904658019543,0.898724317551,0.896103978157,0.893831193447,leesburg,exploding,cloudshaped,uidentified,resemblant,positively
153,1,0.924596250057,0.920030653477,0.915945589542,0.915533363819,0.913311183453,madison,monongahela,pines,binghamton,mission,mononongahela
154,10,0.966618955135,0.962704598904,0.957781732082,0.957204520702,0.956116437912,bullet,suacer,barbell,puck,dimond,shpere
155,1,0.90820902586,0.898716449738,0.897717833519,0.89481317997,0.89329457283,episodes,importantly,veteran,escorted,pictues,mulicolored
156,1,0.921287119389,0.913029611111,0.911478579044,0.907133877277,0.906549394131,southboro,steaks,afast,strasburg,stratford,aprroxmiately
157,3,0.854694545269,0.853157281876,0.841835319996,0.841310322285,0.836021780968,zigzaged,dissappeard,typ,unexplainably,growl,idle
158,1,0.857969164848,0.832919061184,0.827353179455,0.827279984951,0.82652848959,baxster,tumbler,firecrackers,grip,pendulum,exclaimed
159,623,0.961427748203,0.955422639847,0.954035818577,0.949116885662,0.947932124138,husband,friends,son,wife,girlfriend,friend
160,32,0.961213290691,0.960034430027,0.956148862839,0.954407513142,0.954087793827,actually,alone,filming,delivering,studying,feeling
161,1,0.956780254841,0.954083025455,0.953919172287,0.953747034073,0.952608048916,gry,books,rapida,downs,brillantes,excessivly
162,1,0.892778635025,0.877580881119,0.869338512421,0.855405271053,0.854186832905,ludington,whitnesses,moline,carloads,plants,dozes
163,15,0.970937490463,0.964569628239,0.963841378689,0.963257133961,0.962422311306,apod,differant,soudain,attire,add,spectrum
164,1,0.858614861965,0.85467851162,0.853254675865,0.852115988731,0.851409435272,rpv,tillery,sacramento,central,bay,piscah
165,1,0.929469525814,0.928999304771,0.924495398998,0.921430885792,0.91569596529,might,will,must,can,cannot,themepark
166,1,0.913035571575,0.912234127522,0.910607933998,0.907265484333,0.904869258404,trucker,groceries,playground,shop,recalls,urinate
167,59,0.899533033371,0.890614330769,0.887453198433,0.886551260948,0.881073594093,seven,total,distanced,nocturnal,eight,dozen
168,20,0.955249488354,0.947834908962,0.946647942066,0.946267306805,0.945800185204,halos,vivid,bachelor,defying,reallzyd,birght
169,1,0.959568083286,0.955910265446,0.952435135841,0.950783312321,0.95051586628,delhi,arena,timing,broadcast,brillante,courier
170,8,0.926680147648,0.92570322752,0.924529016018,0.923036813736,0.923005104065,peak,belgrade,la,wellington,alaska,beltway
171,1,0.876213788986,0.867498874664,0.865401923656,0.863270163536,0.861657559872,ent,sattva,sparatic,coloref,cases,racers
172,30,0.959583044052,0.94577974081,0.945274055004,0.941655099392,0.939019799232,disapered,dissapears,disapper,dissapered,finally,disappered
173,13,0.97826218605,0.976250588894,0.975603580475,0.975333571434,0.974436879158,objetos,circus,globos,cerca,velocidad,unknow
174,4,0.98584228754,0.983403086662,0.981648027897,0.981415748596,0.981093764305,avec,uma,tenessee,una,por,witnes
175,5,0.947232544422,0.943522393703,0.938906490803,0.936411201954,0.936406314373,greatly,repeatedly,blues,zigzagged,tightly,diminishing
176,6,0.963960647583,0.962546169758,0.962178051472,0.958742320538,0.957836329937,lockheed,nwlink,que,anterior,cerca,mouth
177,2,0.905269384384,0.890341877937,0.89031291008,0.888581335545,0.88814675808,lehi,springfield,santee,ithaca,newark,transverse
178,1,0.861052632332,0.844204962254,0.837931215763,0.834554433823,0.833618223667,headligh,whittnesses,verticall,fier,lizard,alumium
179,3,0.951214969158,0.946392476559,0.941353619099,0.941046774387,0.940577685833,cemetery,steaks,tellico,dramatically,southboro,bradford
180,1,0.906763851643,0.905538320541,0.902021169662,0.90048378706,0.897693455219,border,morgan,albany,moore,davis,singer
181,1,0.962822854519,0.960556745529,0.959518492222,0.958172976971,0.956885993481,rite,dump,flooded,puerto,haverhill,flowery
182,1,0.846434354782,0.842773735523,0.841555178165,0.83840149641,0.837875306606,darts,descends,drops,oromocto,refinery,kaala
183,4,0.885232210159,0.867298722267,0.858905494213,0.857690811157,0.845236897469,isosoles,wpb,pulising,ulster,formaton,vertices
184,7,0.965480148792,0.965201556683,0.964964687824,0.963914811611,0.961738109589,mas,capabilities,lorsque,science,malstrom,tech
185,2,0.877948760986,0.875345945358,0.866972446442,0.865265130997,0.863804936409,fashes,drivinghome,dissap,outback,taping,scream
186,19,0.96547216177,0.964724421501,0.964172780514,0.96241569519,0.961688637733,why,need,aliens,read,recently,saying
187,22,0.966068685055,0.96003895998,0.951622188091,0.948176026344,0.9474645257,jersey,york,castle,hampshire,mexico,orleans
188,5,0.968291699886,0.962498009205,0.962102711201,0.954266309738,0.952398717403,hexagon,trangle,traingle,triagle,cresent,rectagular
189,1,0.923518002033,0.920723617077,0.903535962105,0.900361537933,0.899386763573,sixth,wargame,ambulance,undeniable,downstairs,shoppping
190,8,0.988166809082,0.987825453281,0.986173391342,0.985966682434,0.985191881657,court,puerto,cuando,gras,alta,rico
191,3,0.924178361893,0.920335590839,0.918828487396,0.918590068817,0.918301582336,busy,miliary,navel,dia,naval,bliss
192,1,0.934030234814,0.933880865574,0.932635486126,0.932588458061,0.932533204556,footsteps,cela,phoned,overnight,feed,rick
193,4,0.945847570896,0.944424569607,0.941911518574,0.938880622387,0.93868303299,angel,choey,meadows,toy,psi,rice
194,2,0.886250019073,0.872353434563,0.871079087257,0.867213368416,0.866453051567,wayback,obsrevation,brought,holidays,reception,neighb
195,10,0.922226548195,0.919081747532,0.917815625668,0.911000967026,0.910535514355,basketball,glass,candle,consumed,rope,plate
196,1,0.920182406902,0.915576100349,0.91369920969,0.905938386917,0.905783891678,destin,cape,baldy,cooper,worth,plata
197,1,0.970389485359,0.953783690929,0.952270925045,0.949331223965,0.949096024036,binochularsand,nearing,flng,shperes,cycling,throuqh
198,7,0.941667377949,0.938689410686,0.93817961216,0.937922298908,0.936661839485,maintained,departed,flyers,atop,melourne,altogether
199,7,0.958125889301,0.954534232616,0.946765005589,0.946344554424,0.943693459034,whirring,hissing,beeping,buzzing,screeching,droning
200,2,0.992345333099,0.991740465164,0.991319775581,0.99099612236,0.98974198103,una,que,estavamos,despego,nous,policial
